OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt,YearRemodAdd,MasVnrArea,Fireplaces,OpenPorchSF_log,SalePrice
7,1710,2,856,2,2003,2003,196.0,0,4.127134385045092,208500
6,1262,2,1262,2,1976,1976,0.0,1,0.0,181500
7,1786,2,920,2,2001,2002,162.0,1,3.7612001156935615,223500
7,1717,3,756,1,1915,1970,0.0,1,3.58351893845611,140000
8,2198,3,1145,2,2000,2000,350.0,1,4.442651256490317,250000
5,1362,2,796,1,1993,1995,0.0,0,3.4339872044851463,143000
8,1694,2,1686,2,2004,2005,186.0,1,4.060443010546419,307000
7,2090,2,1107,2,1973,1973,240.0,2,5.3230099791384085,200000
7,1774,2,952,2,1931,1950,0.0,2,0.0,129900
5,1077,1,991,1,1939,1950,0.0,2,1.6094379124341005,118000
5,1040,1,1040,1,1965,1965,0.0,0,0.0,129500
9,2324,3,1175,3,2005,2006,286.0,2,3.091042453358316,345000
5,912,1,912,1,1962,1962,0.0,0,0.0,144000
7,1494,3,1494,2,2006,2007,306.0,1,3.5263605246161616,279500
6,1253,1,1253,1,1960,1960,212.0,1,5.365976015021851,157000
7,854,2,832,1,1929,2001,0.0,0,4.727387818712341,132000
6,1004,2,1004,1,1970,1970,180.0,1,0.0,149000
4,1296,2,0,2,1967,1967,0.0,0,0.0,90000
5,1114,2,1114,1,2004,2004,0.0,0,4.634728988229636,159000
5,1339,1,1029,1,1958,1965,0.0,0,0.0,139000
8,2376,3,1158,3,2005,2006,380.0,1,5.043425116919247,325300
7,1108,1,637,1,1930,1950,0.0,1,0.0,139400
8,1795,2,1777,2,2002,2002,281.0,1,5.075173815233827,230000
5,1060,2,1040,1,1976,1976,0.0,1,4.709530201312334,129900
5,1060,1,1060,1,1968,2001,0.0,1,4.51085950651685,154000
8,1600,3,1566,2,2007,2007,640.0,1,4.04305126783455,256300
5,900,2,900,1,1951,2000,0.0,0,3.49650756146648,134800
8,1704,3,1704,2,2007,2008,200.0,1,3.9318256327243257,306000
5,1600,1,1484,1,1957,1997,0.0,2,5.556828061699537,207500
4,520,1,520,1,1927,1950,0.0,0,0.0,68500
4,1317,1,649,1,1920,1950,0.0,0,4.007333185232471,40000
5,1228,1,1228,1,1966,2006,0.0,0,4.189654742026425,149350
8,1234,2,1234,2,2007,2007,0.0,0,3.4339872044851463,179900
5,1700,2,1398,1,1959,1959,0.0,1,3.6635616461296463,165500
9,1561,2,1561,2,2005,2005,246.0,1,3.871201010907891,277500
8,2452,3,1117,3,2004,2005,132.0,1,3.49650756146648,309000
5,1097,2,1097,1,1994,1995,0.0,0,4.174387269895637,145000
5,1297,2,1297,1,1954,1990,650.0,1,0.0,153000
5,1057,1,1057,1,1953,2007,0.0,0,3.970291913552122,109000
4,1152,0,0,2,1955,1955,0.0,0,0.0,82000
6,1324,2,1088,2,1965,1965,101.0,1,4.934473933130692,160000
5,1328,1,1350,1,1959,1959,0.0,2,4.653960350157523,170000
5,884,2,840,1,1983,1983,0.0,0,0.0,144000
5,938,1,938,1,1975,1980,0.0,0,0.0,130250
5,1150,1,1150,1,1959,1959,0.0,0,0.0,141000
9,1752,2,1752,2,2005,2005,412.0,1,4.418840607796598,319900
7,2149,2,1434,1,2003,2003,0.0,1,3.784189633918261,239686
8,1656,3,1656,2,2006,2006,0.0,0,4.990432586778736,249700
4,1452,0,736,2,1920,2008,0.0,0,0.0,113000
5,955,1,955,1,1966,1966,0.0,0,0.0,127000
6,1470,2,794,2,1997,1997,0.0,0,4.330733340286331,177000
6,1176,2,816,1,1934,1950,0.0,1,0.0,114500
5,816,2,816,1,1963,1963,0.0,0,0.0,110000
9,1842,3,1842,0,1981,1987,0.0,1,4.290459441148391,385000
5,1360,2,384,1,1955,1955,0.0,1,3.9318256327243257,130000
6,1425,2,1425,2,1964,1964,272.0,1,0.0,180500
8,1739,2,970,2,1999,2000,456.0,0,0.0,172500
7,1720,2,860,2,2004,2004,0.0,0,4.262679877041316,196500
10,2945,3,1410,3,2006,2006,1031.0,1,0.0,438780
5,780,1,780,1,1972,1972,0.0,0,0.0,124900
6,1158,2,1158,1,2004,2004,0.0,0,3.9318256327243257,158000
5,1111,1,530,1,1920,1996,0.0,0,0.0,101000
8,1370,2,1370,2,2006,2006,178.0,1,3.912023005428146,202500
7,1710,2,576,2,1921,1950,0.0,0,2.4849066497880004,140000
7,2034,2,1057,2,1997,1998,573.0,0,3.610917912644224,219500
8,2473,3,1143,2,2004,2005,344.0,1,5.0238805208462765,317000
7,2207,2,1947,2,1970,1989,287.0,1,0.0,180000
7,1479,2,1453,2,2003,2003,167.0,0,3.4011973816621555,226000
4,747,1,747,1,1945,1950,0.0,0,0.0,80000
7,2287,2,1304,2,1953,1953,0.0,1,3.091042453358316,225000
7,2223,2,2223,2,1973,1973,1115.0,2,0.0,244000
4,845,2,845,1,1982,2006,0.0,0,0.0,129500
7,1718,2,832,2,1998,1998,40.0,1,4.553876891600541,185000
5,1086,2,1086,1,1954,2003,104.0,0,0.0,144900
3,1605,1,840,2,1915,1950,0.0,0,0.0,107400
4,988,1,462,1,1973,1973,0.0,0,4.624972813284271,91000
4,952,1,952,1,1956,1956,0.0,0,0.0,135750
5,1285,1,672,1,1948,2001,0.0,0,0.0,127000
4,1768,0,1768,2,1968,1968,0.0,0,0.0,136500
5,1230,2,440,1,1910,1981,0.0,0,0.0,110000
6,2142,1,896,2,1968,1968,576.0,1,4.290459441148391,193500
6,1337,2,1237,2,1998,1998,443.0,0,5.298317366548036,153500
8,1563,3,1563,2,2007,2007,468.0,1,4.605170185988092,245000
5,1065,2,1065,1,1960,1960,66.0,0,0.0,126500
7,1474,2,384,2,1995,1996,22.0,1,4.290459441148391,168500
8,2417,2,1288,2,1991,1992,284.0,1,4.418840607796598,260000
6,1560,2,684,2,2005,2005,0.0,1,3.6635616461296463,174000
6,1224,2,612,2,2009,2009,76.0,0,5.459585514144159,164500
3,1526,0,1013,1,1915,1982,0.0,0,0.0,85000
4,990,0,990,1,1994,1995,0.0,0,0.0,123600
4,1040,2,0,1,1950,1950,0.0,0,3.4011973816621555,109900
5,1235,2,1235,1,1961,1961,203.0,0,0.0,98600
5,964,2,876,1,1921,2006,0.0,0,0.0,163500
6,2291,2,1214,2,1910,1998,0.0,1,0.0,133900
6,1786,2,824,2,1997,1997,0.0,0,5.093750200806762,204750
6,1470,2,680,2,1993,1993,68.0,1,4.158883083359672,185000
7,1588,2,1588,2,1999,1999,183.0,0,3.4011973816621555,214000
4,960,1,960,1,1965,1965,48.0,0,0.0,94750
5,835,1,458,1,1920,1950,0.0,0,0.0,83000
4,1225,0,950,1,1959,1959,0.0,0,0.0,128950
6,1610,2,1610,2,1977,2001,28.0,2,4.23410650459726,205000
6,1732,2,741,2,1985,1985,336.0,1,3.8501476017100575,178000
5,1535,2,0,2,1979,1979,0.0,0,0.0,118964
7,1226,3,1226,2,2009,2009,0.0,0,3.610917912644224,198900
7,1818,1,1040,1,1931,1950,600.0,2,0.0,169500
8,1992,2,1053,2,2003,2004,768.0,1,3.828641396489095,250000
4,1047,1,641,1,1885,1995,0.0,0,0.0,100000
5,789,1,789,1,1948,1950,0.0,0,0.0,115000
5,1517,0,793,2,1919,2005,0.0,0,0.0,115000
6,1844,2,1844,2,1977,1977,480.0,1,4.812184355372417,190000
6,1855,1,994,2,1954,1972,0.0,0,0.0,136900
7,1430,2,384,2,2000,2000,0.0,1,0.0,180000
7,2696,3,1264,2,2007,2007,220.0,1,5.220355825078324,383970
6,2259,2,1809,2,1953,1953,184.0,2,4.795790545596741,217000
6,2320,1,1028,2,1945,2002,0.0,1,0.0,259500
6,1458,2,729,2,1999,1999,1129.0,1,3.49650756146648,176000
5,1092,1,1092,1,1962,1962,116.0,1,3.044522437723423,139000
5,1125,2,1125,1,2006,2007,0.0,0,4.174387269895637,155000
7,3222,3,1673,3,1990,1990,0.0,2,0.0,320000
6,1456,2,728,2,2005,2006,0.0,1,3.218875824868201,163990
6,988,2,938,1,1969,1969,0.0,2,4.875197323201151,180000
4,1123,1,732,1,1939,1950,0.0,0,0.0,100000
6,1080,1,1080,1,1958,1958,135.0,0,0.0,136000
6,1199,2,1199,2,1993,1993,0.0,0,4.158883083359672,153900
6,1586,2,1362,2,1979,1998,0.0,1,0.0,181000
6,754,0,520,1,1935,1982,0.0,0,0.0,84500
6,958,2,1078,2,1976,1976,0.0,1,5.327876168789581,128000
5,840,0,672,1,1930,1950,0.0,1,0.0,87000
6,1348,2,660,1,1966,1966,266.0,1,4.691347882229144,155000
5,1053,2,1008,1,1958,1991,85.0,0,4.394449154672439,150000
7,2157,2,924,2,1966,1966,309.0,2,4.204692619390966,226000
6,2054,2,992,2,2000,2000,40.0,1,3.8918202981106265,244000
5,1327,2,1063,1,1959,2002,0.0,0,0.0,150750
8,1296,2,1267,2,2001,2002,136.0,0,3.258096538021482,220000
5,1721,2,1461,2,1968,1993,0.0,1,4.574710978503383,180000
7,1682,2,1304,2,1970,1970,288.0,1,0.0,174000
5,1214,1,1214,2,1967,1967,196.0,1,4.718498871295094,143000
7,1959,3,1907,3,1988,1989,70.0,0,0.0,171000
8,1852,3,1004,2,1999,2000,320.0,2,4.672828834461906,230000
6,1764,2,928,2,1997,1997,0.0,0,4.605170185988092,231500
4,864,0,864,1,1971,1971,0.0,1,0.0,115000
7,1734,2,1734,2,2005,2005,0.0,0,3.218875824868201,260000
5,1385,2,910,2,1952,1952,0.0,0,0.0,166000
7,1501,2,1490,2,1999,1999,183.0,0,3.4011973816621555,204000
5,1728,2,1728,2,1963,1963,336.0,0,0.0,125000
6,1709,2,970,2,2004,2006,50.0,0,3.713572066704308,130000
5,875,1,715,1,1931,1993,0.0,0,0.0,105000
7,2035,2,884,2,2001,2001,180.0,1,3.8918202981106265,222500
7,1080,0,1080,1,2004,2005,120.0,0,0.0,141000
5,1344,1,896,1,1936,1950,0.0,0,4.74493212836325,115000
5,969,2,969,1,1975,1975,0.0,0,0.0,122000
8,1710,3,1710,2,2007,2008,436.0,1,4.634728988229636,372402
6,1993,2,825,2,1971,1971,252.0,1,4.204692619390966,190000
6,1252,2,1602,1,1960,1975,0.0,1,0.0,235000
6,1200,1,1200,1,1923,1950,0.0,0,0.0,125000
6,1096,0,572,1,1924,1950,0.0,0,2.19722457733622,79000
5,1040,2,0,1,1950,1950,0.0,0,0.0,109500
8,1968,3,774,2,2009,2010,84.0,1,4.330733340286331,269500
7,1947,2,991,2,2004,2005,0.0,1,4.919980925828125,254900
7,2462,2,1392,2,2005,2006,456.0,1,4.890349128221754,320000
6,1232,2,1232,2,1984,1984,0.0,0,0.0,162500
9,2668,3,1572,2,2003,2004,664.0,2,0.0,412500
7,1541,2,1541,2,2005,2005,226.0,1,4.262679877041316,220000
4,882,0,882,1,1956,1956,0.0,0,0.0,103200
6,1616,1,1149,2,1926,2004,0.0,0,0.0,152000
5,1355,0,644,2,1940,1999,0.0,0,0.0,127500
5,1867,1,1617,1,1955,1993,0.0,3,0.0,190000
8,2161,3,1582,1,2007,2007,300.0,1,4.795790545596741,325624
7,1720,2,840,2,2004,2004,0.0,1,3.8918202981106265,183500
8,1707,2,1686,2,1981,1981,653.0,1,4.174387269895637,228000
5,1382,2,720,1,1941,1950,0.0,0,0.0,128500
6,1656,2,1080,1,1960,1960,112.0,2,4.143134726391533,215000
7,1767,2,1064,2,1987,1987,0.0,1,3.58351893845611,239000
6,1362,2,1362,1,1961,1961,491.0,1,3.044522437723423,163000
6,1651,2,1606,2,1986,1986,132.0,1,0.0,184000
6,2158,2,1202,2,1950,2001,0.0,1,3.4011973816621555,243000
6,2060,2,1151,2,1988,1989,268.0,1,5.43372200355424,211000
5,1920,2,1052,2,1958,1958,0.0,1,0.0,172500
9,2234,3,2216,2,2008,2009,748.0,1,4.110873864173311,501837
5,968,2,968,1,1923,2006,0.0,0,0.0,100000
6,1525,2,756,2,2000,2000,456.0,1,0.0,177000
7,1802,1,793,1,1920,1950,0.0,1,0.0,200100
5,1340,1,0,1,1957,2006,98.0,1,0.0,120000
7,2082,2,1362,2,2003,2003,0.0,0,5.476463551931511,200000
5,1252,2,504,1,1908,1991,0.0,0,0.0,127000
10,3608,3,1107,2,1892,1993,0.0,2,5.564520407322694,475000
7,1217,2,1188,2,1990,1991,0.0,0,3.332204510175204,173000
5,1656,1,660,2,1916,1987,0.0,0,0.0,135000
5,1224,2,1086,0,1979,1979,275.0,2,0.0,153337
8,1593,2,1593,1,2001,2002,0.0,1,4.795790545596741,286000
8,2727,2,853,2,1932,1994,0.0,2,4.31748811353631,315000
7,1479,2,725,1,1972,2004,138.0,0,3.49650756146648,184000
7,1431,2,1431,2,1999,1999,0.0,0,3.58351893845611,192000
7,1709,2,970,2,2004,2004,50.0,0,3.713572066704308,130000
5,864,1,864,1,1972,1972,0.0,0,0.0,127000
6,1456,2,855,2,1976,1976,0.0,1,0.0,148500
7,1726,3,1726,2,2007,2007,205.0,1,4.934473933130692,311872
8,3112,2,1360,2,1918,1990,0.0,1,2.833213344056216,235000
6,2229,0,755,1,1912,1950,0.0,0,5.293304824724492,104000
8,1713,3,1713,2,2004,2005,262.0,1,3.295836866004329,274900
4,1121,2,1121,2,2003,2004,0.0,0,4.174387269895637,140000
6,1279,2,1196,2,1977,1977,0.0,2,4.430816798843313,171500
6,1310,1,617,2,1924,1950,0.0,0,0.0,112000
6,848,2,848,1,2004,2004,205.0,1,0.0,149000
5,1284,1,720,1,1947,1950,0.0,0,3.58351893845611,110000
7,1442,2,1424,2,1990,1990,0.0,0,3.555348061489413,180500
5,1696,1,1140,1,1962,1962,0.0,1,3.4339872044851463,143900
4,1100,1,1100,1,1960,1960,0.0,1,0.0,141000
7,2062,2,1157,2,1988,1989,128.0,1,4.02535169073515,277000
6,1092,2,1092,1,1964,1964,260.0,0,0.0,145000
5,864,0,864,1,1925,1950,0.0,0,0.0,98000
6,1212,2,1212,2,2009,2009,0.0,0,3.1354942159291497,186000
7,1852,2,900,2,2009,2009,0.0,1,4.691347882229144,252678
5,990,2,990,1,1995,1995,0.0,0,0.0,156000
6,1392,1,689,1,1977,1977,153.0,0,3.610917912644224,161750
5,1236,1,1070,1,1957,1996,64.0,1,0.0,134450
7,1436,2,1436,2,2004,2004,266.0,0,4.59511985013459,210000
4,1328,1,686,1,1925,1950,0.0,0,5.153291594497779,107000
7,1954,2,798,1,1939,2006,312.0,2,4.787491742782046,311500
7,1248,2,1248,2,2005,2006,16.0,0,0.0,167240
7,1498,2,1498,2,2006,2006,0.0,0,3.5263605246161616,204900
6,2267,2,1010,2,2002,2002,0.0,1,3.8501476017100575,200000
6,1552,2,713,2,1975,1975,0.0,1,5.342334251964811,179900
4,864,2,864,1,1971,1971,0.0,0,0.0,97000
10,2392,3,2392,2,2003,2003,922.0,1,4.663439094112067,386250
5,1302,1,630,2,1971,1971,142.0,0,0.0,112000
7,2520,3,1203,2,1995,1995,290.0,1,4.74493212836325,290000
6,987,1,483,1,1970,1970,127.0,0,0.0,106000
5,912,1,912,1,1967,1967,0.0,1,0.0,125000
7,1555,2,1373,2,2005,2006,16.0,1,3.044522437723423,192500
6,1194,1,1194,1,1959,1959,220.0,0,0.0,148000
8,2794,3,1462,2,1995,1996,506.0,1,4.990432586778736,403000
6,987,1,483,1,1972,1972,297.0,1,0.0,94500
5,894,1,894,1,1976,1976,0.0,0,0.0,128200
6,1960,2,860,2,2002,2002,0.0,2,3.8918202981106265,216500
6,987,1,483,1,1971,1971,604.0,0,0.0,89500
7,1414,2,1414,2,2004,2004,98.0,0,4.663439094112067,185500
7,1744,2,996,2,1993,2003,0.0,0,4.262679877041316,194500
8,1694,3,1694,2,2007,2007,254.0,0,5.43372200355424,318000
6,1487,1,735,1,1945,1950,0.0,1,4.948759890378168,113000
8,1566,2,1566,2,2008,2008,36.0,0,5.1298987149230735,262500
5,866,0,686,1,1945,1997,0.0,0,3.7612001156935615,110500
5,1440,1,540,1,1900,1950,0.0,0,0.0,79000
6,1217,1,626,1,1980,1980,0.0,1,3.367295829986474,120000
7,2110,2,948,2,1994,2002,0.0,2,4.875197323201151,205000
7,1872,2,1845,2,1988,1988,102.0,1,3.688879454113936,241500
6,1928,1,1020,2,1910,1950,0.0,0,4.110873864173311,137000
6,1375,2,1367,1,1954,1954,0.0,1,3.4339872044851463,140000
7,1668,2,840,2,2003,2003,101.0,0,4.23410650459726,180000
6,2144,2,1444,2,1958,2006,472.0,2,4.59511985013459,277000
3,1306,0,728,1,1940,1966,0.0,0,0.0,76500
8,1625,2,1573,2,2006,2007,481.0,1,0.0,235000
6,1640,2,798,2,2004,2004,0.0,0,3.828641396489095,173000
6,1302,1,1302,2,1964,1991,108.0,0,0.0,158000
5,1314,1,1314,1,1957,1957,0.0,0,0.0,145000
7,2291,2,975,2,1999,1999,302.0,1,0.0,230000
6,1728,2,864,2,2003,2003,0.0,0,4.04305126783455,207500
7,1604,2,1604,2,2006,2006,180.0,1,4.709530201312334,220000
7,1792,2,963,2,2001,2001,172.0,1,4.574710978503383,231500
5,882,1,0,1,1956,1956,0.0,0,3.828641396489095,97000
6,1382,2,1362,1,1962,1962,399.0,1,0.0,176000
8,2574,3,1482,2,2007,2007,270.0,1,5.003946305945459,276000
6,1212,2,506,1,1977,1995,46.0,1,2.5649493574615367,151000
5,1316,2,926,1,1929,2001,0.0,0,0.0,130000
5,764,2,680,1,1925,2004,0.0,0,0.0,73000
6,1422,2,1422,2,1981,1981,210.0,1,0.0,175500
6,1511,2,802,2,1997,1997,0.0,1,4.330733340286331,185000
5,2192,1,720,2,1939,1997,0.0,1,3.218875824868201,179500
5,778,1,740,1,1940,1955,0.0,1,3.258096538021482,120500
6,1113,1,1143,1,1976,1976,174.0,1,3.4339872044851463,148000
8,1939,3,1095,2,2006,2006,0.0,1,3.951243718581428,266000
7,1363,2,1385,1,1954,2005,0.0,2,0.0,241500
8,2270,3,1152,2,1999,2007,348.0,1,4.060443010546419,290000
6,1632,1,1240,2,1958,1988,183.0,1,0.0,139000
5,816,1,816,1,1982,1982,0.0,0,0.0,124500
7,1548,2,952,2,1925,2007,0.0,0,0.0,205000
7,1560,2,1560,2,2003,2003,0.0,0,5.017279836814924,201000
4,864,2,864,1,1951,1951,0.0,0,0.0,141000
9,2121,3,2121,2,2006,2007,315.0,1,4.59511985013459,415298
7,2022,2,1160,2,1977,1977,299.0,1,4.770684624465665,192000
7,1982,2,807,2,1989,1989,340.0,1,4.442651256490317,228500
6,1262,2,1262,2,2006,2006,68.0,0,4.795790545596741,185000
7,1314,2,1314,2,2007,2008,166.0,1,4.143134726391533,207500
8,1468,3,1468,2,2008,2009,72.0,1,5.017279836814924,244600
6,1575,2,1575,2,1992,1992,0.0,0,0.0,179200
7,1250,2,625,2,2006,2007,0.0,0,4.007333185232471,164700
6,1734,2,912,1,1962,1981,0.0,1,0.0,159000
4,858,0,858,1,1971,1971,0.0,0,0.0,88000
5,900,1,882,1,1967,1967,31.0,0,0.0,122000
6,1396,1,698,1,1915,2003,0.0,0,0.0,153575
8,1919,2,1079,2,2006,2006,0.0,1,3.951243718581428,233230
5,1716,0,780,2,1912,2000,0.0,0,5.220355825078324,135900
5,1716,1,768,1,1949,2008,0.0,1,0.0,131000
7,2263,2,795,2,1977,1994,34.0,1,5.525452939131784,235000
6,1644,2,1416,1,1953,1953,238.0,2,0.0,167000
6,1003,2,1003,1,1984,1984,0.0,0,0.0,142500
5,1558,1,910,1,1950,1950,0.0,0,0.0,152000
7,1950,2,975,2,1997,1998,1600.0,1,2.3978952727983707,239000
6,1743,2,702,1,1968,1968,365.0,1,0.0,175000
6,1152,1,1092,1,1950,2004,0.0,1,3.610917912644224,158500
5,1336,1,1165,1,1953,1953,56.0,2,0.0,157000
8,2452,2,1028,2,1998,1999,0.0,1,3.9318256327243257,267000
7,1541,3,1541,2,2001,2002,150.0,1,4.406719247264253,205000
5,894,2,894,1,1972,1972,0.0,0,0.0,149900
7,3493,3,1470,3,1880,2002,0.0,1,0.0,295000
8,2000,3,2000,2,2004,2005,246.0,0,0.0,305900
7,2243,3,700,2,1990,1991,246.0,1,3.80666248977032,225000
6,1406,0,319,1,1920,1950,0.0,0,4.976733742420574,89500
4,861,2,861,1,1940,1950,0.0,0,0.0,82500
9,1944,3,1896,2,2003,2004,0.0,3,5.170483995038151,360000
6,1501,2,697,2,1993,1994,112.0,1,4.158883083359672,165600
6,972,1,972,1,1948,2002,0.0,1,0.0,132000
5,1118,2,793,1,1939,1950,0.0,1,0.0,119900
7,2036,2,2136,2,1965,1965,0.0,2,0.0,375000
7,1641,2,728,1,1925,1990,0.0,1,0.0,178000
7,1432,2,716,2,2004,2005,0.0,1,3.951243718581428,188500
7,2353,2,845,2,1980,1980,278.0,1,5.278114659230517,260000
8,1959,3,1088,2,2006,2006,0.0,1,3.8501476017100575,270000
7,2646,3,1347,2,1993,1993,256.0,1,4.110873864173311,260000
7,1472,2,1372,2,1980,1980,225.0,2,3.8918202981106265,187500
9,2596,3,1249,3,2006,2006,370.0,0,5.043425116919247,342643
8,2468,3,1136,2,2004,2004,388.0,1,5.043425116919247,354000
7,2730,2,1502,2,1986,1987,172.0,1,4.574710978503383,301000
3,1163,1,1162,1,1955,2005,0.0,0,4.59511985013459,126175
7,2978,2,710,2,1967,2007,300.0,1,0.0,242000
5,803,2,720,1,1941,1950,0.0,0,0.0,87000
8,1719,2,1719,1,1993,1993,0.0,2,3.4339872044851463,324000
6,1383,1,1383,1,1960,1960,175.0,0,3.828641396489095,145250
6,2134,2,844,2,1916,1994,0.0,0,4.110873864173311,214500
5,1192,1,596,1,1920,1950,0.0,0,0.0,78000
5,1728,1,1728,2,1964,1964,84.0,0,0.0,119000
5,1056,1,1056,1,1958,1992,0.0,0,0.0,139000
8,1629,3,3206,2,2003,2004,296.0,1,0.0,284000
7,1358,2,1358,2,2004,2004,146.0,1,3.4339872044851463,207000
6,1638,2,943,2,1998,1998,0.0,2,3.6635616461296463,192000
5,1786,2,1499,2,1965,1965,0.0,2,0.0,228950
9,1922,3,1922,2,2005,2006,200.0,1,3.951243718581428,377426
7,1536,2,1536,2,2002,2003,113.0,0,4.31748811353631,214000
7,1621,2,1208,2,1984,1998,0.0,0,3.828641396489095,202500
6,1215,1,1215,1,1958,1998,176.0,0,0.0,155000
8,1908,2,967,2,2002,2002,0.0,0,0.0,202900
4,841,1,721,1,1950,1950,0.0,0,0.0,82000
3,1040,2,0,2,1949,1950,340.0,0,0.0,87500
9,1684,2,1684,2,2005,2005,616.0,1,4.290459441148391,266000
5,1112,1,536,1,1976,1976,0.0,0,0.0,85000
6,1577,1,972,1,1939,1950,0.0,1,0.0,140200
6,958,1,958,1,1960,1998,0.0,0,0.0,151500
6,1478,2,1478,2,1960,1960,30.0,2,3.713572066704308,157500
7,1626,2,764,2,2003,2004,106.0,0,3.332204510175204,154000
9,2728,3,1848,2,2005,2006,870.0,2,0.0,437154
9,1869,2,1869,2,2007,2007,362.0,1,4.007333185232471,318061
7,1453,2,1453,1,1986,1986,0.0,1,4.394449154672439,190000
5,1111,1,616,1,1941,1950,0.0,0,0.0,95000
6,720,2,624,1,1928,2003,0.0,0,0.0,105900
6,1595,1,940,1,1940,2000,0.0,2,0.0,140000
6,1200,2,1200,2,1995,1995,0.0,0,3.295836866004329,177500
6,1167,2,1158,2,1992,1992,106.0,0,3.295836866004329,173000
5,1142,2,1142,1,1976,1976,0.0,1,4.51085950651685,134000
5,1352,1,1062,1,1958,1958,120.0,0,0.0,130000
8,1924,2,1086,2,1998,1998,530.0,1,4.330733340286331,280000
