OverallQual,GarageCars,KitchenAbvGr,GrLivArea,FullBath,2ndFlrSF,TotalBsmtSF,1stFlrSF,Fireplaces,OpenPorchSF,SalePrice
7,2,1,1710,2,854,856,856,0,61,208500
6,2,1,1262,2,0,1262,1262,1,0,181500
7,2,1,1786,2,866,920,920,1,42,223500
7,3,1,1717,1,756,756,961,1,35,140000
8,3,1,2198,2,1053,1145,1145,1,84,250000
5,2,1,1362,1,566,796,796,0,30,143000
8,2,1,1694,2,0,1686,1694,1,57,307000
7,2,1,2090,2,983,1107,1107,2,204,200000
7,2,2,1774,2,752,952,1022,2,0,129900
5,1,2,1077,1,0,991,1077,2,4,118000
5,1,1,1040,1,0,1040,1040,0,0,129500
9,3,1,2324,3,1142,1175,1182,2,21,345000
5,1,1,912,1,0,912,912,0,0,144000
7,3,1,1494,2,0,1494,1494,1,33,279500
6,1,1,1253,1,0,1253,1253,1,213,157000
7,2,1,854,1,0,832,854,0,112,132000
6,2,1,1004,1,0,1004,1004,1,0,149000
4,2,2,1296,2,0,0,1296,0,0,90000
5,2,1,1114,1,0,1114,1114,0,102,159000
5,1,1,1339,1,0,1029,1339,0,0,139000
8,3,1,2376,3,1218,1158,1158,1,154,325300
7,1,1,1108,1,0,637,1108,1,0,139400
8,2,1,1795,2,0,1777,1795,1,159,230000
5,2,1,1060,1,0,1040,1060,1,110,129900
5,1,1,1060,1,0,1060,1060,1,90,154000
8,3,1,1600,2,0,1566,1600,1,56,256300
5,2,1,900,1,0,900,900,0,32,134800
8,3,1,1704,2,0,1704,1704,1,50,306000
5,1,1,1600,1,0,1484,1600,2,258,207500
4,1,1,520,1,0,520,520,0,0,68500
4,1,1,1317,1,668,649,649,0,54,40000
5,1,1,1228,1,0,1228,1228,0,65,149350
8,2,1,1234,2,0,1234,1234,0,30,179900
5,2,1,1700,1,0,1398,1700,1,38,165500
9,2,1,1561,2,0,1561,1561,1,47,277500
8,3,1,2452,3,1320,1117,1132,1,32,309000
5,2,1,1097,1,0,1097,1097,0,64,145000
5,2,1,1297,1,0,1297,1297,1,0,153000
5,1,1,1057,1,0,1057,1057,0,52,109000
4,0,2,1152,2,0,0,1152,0,0,82000
6,2,1,1324,2,0,1088,1324,1,138,160000
5,1,1,1328,1,0,1350,1328,2,104,170000
5,2,1,884,1,0,840,884,0,0,144000
5,1,1,938,1,0,938,938,0,0,130250
5,1,1,1150,1,0,1150,1150,0,0,141000
9,2,1,1752,2,0,1752,1752,1,82,319900
7,2,1,2149,1,631,1434,1518,1,43,239686
8,3,1,1656,2,0,1656,1656,0,146,249700
4,0,3,1452,2,716,736,736,0,0,113000
5,1,1,955,1,0,955,955,0,0,127000
6,2,1,1470,2,676,794,794,0,75,177000
6,2,1,1176,1,0,816,816,1,0,114500
5,2,1,816,1,0,816,816,0,0,110000
9,3,1,1842,0,0,1842,1842,1,72,385000
5,2,1,1360,1,0,384,1360,1,50,130000
6,2,1,1425,2,0,1425,1425,1,0,180500
8,2,1,1739,2,756,970,983,0,0,172500
7,2,1,1720,2,860,860,860,0,70,196500
10,3,1,2945,3,1519,1410,1426,1,0,438780
5,1,1,780,1,0,780,780,0,0,124900
6,2,1,1158,1,0,1158,1158,0,50,158000
5,1,1,1111,1,530,530,581,0,0,101000
8,2,1,1370,2,0,1370,1370,1,49,202500
7,2,1,1710,2,808,576,902,0,11,140000
7,2,1,2034,2,977,1057,1057,0,36,219500
8,3,1,2473,2,1330,1143,1143,1,151,317000
7,2,1,2207,2,0,1947,2207,1,0,180000
7,2,1,1479,2,0,1453,1479,0,29,226000
4,1,1,747,1,0,747,747,0,0,80000
7,2,1,2287,2,983,1304,1304,1,21,225000
7,2,1,2223,2,0,2223,2223,2,0,244000
4,2,1,845,1,0,845,845,0,0,129500
7,2,1,1718,2,833,832,885,1,94,185000
5,2,1,1086,1,0,1086,1086,0,0,144900
3,1,2,1605,2,765,840,840,0,0,107400
4,1,1,988,1,462,462,526,0,101,91000
4,1,1,952,1,0,952,952,0,0,135750
5,1,1,1285,1,213,672,1072,0,0,127000
4,0,2,1768,2,0,1768,1768,0,0,136500
5,2,1,1230,1,548,440,682,0,0,110000
6,1,1,2142,2,960,896,1182,1,72,193500
6,2,1,1337,2,0,1237,1337,0,199,153500
8,3,1,1563,2,0,1563,1563,1,99,245000
5,2,1,1065,1,0,1065,1065,0,0,126500
7,2,1,1474,2,670,384,804,1,72,168500
8,2,1,2417,2,1116,1288,1301,1,82,260000
6,2,1,1560,2,876,684,684,1,38,174000
6,2,1,1224,2,612,612,612,0,234,164500
3,0,1,1526,1,0,1013,1013,0,0,85000
4,0,1,990,1,0,990,990,0,0,123600
4,2,1,1040,1,0,0,1040,0,29,109900
5,2,1,1235,1,0,1235,1235,0,0,98600
5,2,1,964,1,0,876,964,0,0,163500
6,2,2,2291,2,1031,1214,1260,1,0,133900
6,2,1,1786,2,881,824,905,0,162,204750
6,2,1,1470,2,790,680,680,1,63,185000
7,2,1,1588,2,0,1588,1588,0,29,214000
4,1,1,960,1,0,960,960,0,0,94750
5,1,1,835,1,0,458,835,0,0,83000
4,0,1,1225,1,0,950,1225,0,0,128950
6,2,1,1610,2,0,1610,1610,2,68,205000
6,2,1,1732,2,755,741,977,1,46,178000
5,2,2,1535,2,0,0,1535,0,0,118964
7,3,1,1226,2,0,1226,1226,0,36,198900
7,1,1,1818,1,592,1040,1226,2,0,169500
8,2,1,1992,2,939,1053,1053,1,45,250000
4,1,1,1047,1,0,641,1047,0,0,100000
5,1,1,789,1,0,789,789,0,0,115000
5,0,1,1517,2,520,793,997,0,0,115000
6,2,1,1844,2,0,1844,1844,1,122,190000
6,1,1,1855,2,639,994,1216,0,0,136900
7,2,1,1430,2,656,384,774,1,0,180000
7,3,1,2696,2,1414,1264,1282,1,184,383970
6,2,1,2259,2,0,1809,2259,2,120,217000
6,1,1,2320,2,884,1028,1436,1,0,259500
6,2,1,1458,2,729,729,729,1,32,176000
5,1,1,1092,1,0,1092,1092,1,20,139000
5,2,1,1125,1,0,1125,1125,0,64,155000
7,3,1,3222,3,1523,1673,1699,2,0,320000
6,2,1,1456,2,728,728,728,1,24,163990
6,2,1,988,1,0,938,988,2,130,180000
4,1,1,1123,1,351,732,772,0,0,100000
6,1,1,1080,1,0,1080,1080,0,0,136000
6,2,1,1199,2,0,1199,1199,0,63,153900
6,2,1,1586,2,0,1362,1586,1,0,181000
6,0,1,754,1,0,520,520,0,0,84500
6,2,1,958,2,0,1078,958,1,205,128000
5,0,1,840,1,0,672,840,1,0,87000
6,2,1,1348,1,688,660,660,1,108,155000
5,2,1,1053,1,0,1008,1053,0,80,150000
7,2,1,2157,2,941,924,1216,2,66,226000
6,2,1,2054,2,1032,992,1022,1,48,244000
5,2,1,1327,1,0,1063,1327,0,0,150750
8,2,1,1296,2,0,1267,1296,0,25,220000
5,2,1,1721,2,0,1461,1721,1,96,180000
7,2,1,1682,2,0,1304,1682,1,0,174000
5,1,1,1214,2,0,1214,1214,1,111,143000
7,3,2,1959,3,0,1907,1959,0,0,171000
8,3,1,1852,2,848,1004,1004,2,106,230000
6,2,1,1764,2,836,928,928,0,99,231500
4,0,1,864,1,0,864,864,1,0,115000
7,2,1,1734,2,0,1734,1734,0,24,260000
5,2,1,1385,2,475,910,910,0,0,166000
7,2,1,1501,2,0,1490,1501,0,29,204000
5,2,2,1728,2,0,1728,1728,0,0,125000
6,2,1,1709,2,739,970,970,0,40,130000
5,1,1,875,1,0,715,875,0,0,105000
7,2,1,2035,2,1151,884,884,1,48,222500
7,0,1,1080,1,0,1080,1080,0,0,141000
5,1,1,1344,1,448,896,896,0,114,115000
5,2,1,969,1,0,969,969,0,0,122000
8,3,1,1710,2,0,1710,1710,1,102,372402
6,2,1,1993,2,896,825,1097,1,66,190000
6,2,1,1252,1,0,1602,1252,1,0,235000
6,1,1,1200,1,0,1200,1200,0,0,125000
6,0,1,1096,1,524,572,572,0,8,79000
5,2,1,1040,1,0,0,1040,0,0,109500
8,3,1,1968,2,1194,774,774,1,75,269500
7,2,1,1947,2,956,991,991,1,136,254900
7,2,1,2462,2,1070,1392,1392,1,132,320000
6,2,1,1232,2,0,1232,1232,0,0,162500
9,3,1,2668,2,1096,1572,1572,2,0,412500
7,2,1,1541,2,0,1541,1541,1,70,220000
4,0,1,882,1,0,882,882,0,0,103200
6,1,1,1616,2,467,1149,1149,0,0,152000
5,0,2,1355,2,547,644,808,0,0,127500
5,1,1,1867,1,0,1617,1867,3,0,190000
8,3,1,2161,1,551,1582,1610,1,120,325624
7,2,1,1720,2,880,840,840,1,48,183500
8,2,1,1707,2,0,1686,1707,1,64,228000
5,2,1,1382,1,0,720,854,0,0,128500
6,2,1,1656,1,0,1080,1656,2,62,215000
7,2,1,1767,2,703,1064,1064,1,35,239000
6,2,1,1362,1,0,1362,1362,1,20,163000
6,2,1,1651,2,0,1606,1651,1,0,184000
6,2,1,2158,2,0,1202,2158,1,29,243000
6,2,1,2060,2,896,1151,1164,1,228,211000
5,2,1,1920,2,668,1052,1252,1,0,172500
9,3,1,2234,2,0,2216,2234,1,60,501837
5,2,1,968,1,0,968,968,0,0,100000
6,2,1,1525,2,756,756,769,1,0,177000
7,1,1,1802,1,901,793,901,1,0,200100
5,1,1,1340,1,0,0,1340,1,0,120000
7,2,1,2082,2,720,1362,1362,0,238,200000
5,2,1,1252,1,316,504,936,0,0,127000
10,3,1,3608,2,1518,1107,1518,2,260,475000
7,2,1,1217,2,0,1188,1217,0,27,173000
5,1,1,1656,2,704,660,808,0,0,135000
5,2,2,1224,0,0,1086,1224,2,0,153337
8,2,1,1593,1,0,1593,1593,1,120,286000
8,2,1,2727,2,1178,853,1549,2,74,315000
7,2,1,1479,1,754,725,725,0,32,184000
7,2,1,1431,2,0,1431,1431,0,35,192000
7,2,1,1709,2,739,970,970,0,40,130000
5,1,1,864,1,0,864,864,0,0,127000
6,2,1,1456,2,601,855,855,1,0,148500
7,3,1,1726,2,0,1726,1726,1,138,311872
8,2,1,3112,2,1360,1360,1360,1,16,235000
6,0,1,2229,1,929,755,929,0,198,104000
8,3,1,1713,2,0,1713,1713,1,26,274900
4,2,1,1121,2,0,1121,1121,0,64,140000
6,2,1,1279,2,0,1196,1279,2,83,171500
6,1,1,1310,2,445,617,865,0,0,112000
6,2,1,848,1,0,848,848,1,0,149000
5,1,1,1284,1,564,720,720,0,35,110000
7,2,1,1442,2,0,1424,1442,0,34,180500
5,1,1,1696,1,0,1140,1696,1,30,143900
4,1,1,1100,1,0,1100,1100,1,0,141000
7,2,1,2062,2,882,1157,1180,1,55,277000
6,2,1,1092,1,0,1092,1092,0,0,145000
5,0,1,864,1,0,864,864,0,0,98000
6,2,1,1212,2,0,1212,1212,0,22,186000
7,2,1,1852,2,920,900,932,1,108,252678
5,2,1,990,1,0,990,990,0,0,156000
6,1,1,1392,1,703,689,689,0,36,161750
5,1,1,1236,1,0,1070,1236,1,0,134450
7,2,1,1436,2,0,1436,1436,0,98,210000
4,1,1,1328,1,518,686,810,0,172,107000
7,2,1,1954,1,817,798,1137,2,119,311500
7,2,1,1248,2,0,1248,1248,0,0,167240
7,2,1,1498,2,0,1498,1498,0,33,204900
6,2,1,2267,2,1257,1010,1010,1,46,200000
6,2,1,1552,2,741,713,811,1,208,179900
4,2,1,864,1,0,864,864,0,0,97000
10,3,1,2392,2,0,2392,2392,1,105,386250
5,1,1,1302,2,672,630,630,0,0,112000
7,3,1,2520,2,1306,1203,1214,1,114,290000
6,1,1,987,1,504,483,483,0,0,106000
5,1,1,912,1,0,912,912,1,0,125000
7,2,1,1555,2,0,1373,1555,1,20,192500
6,1,1,1194,1,0,1194,1194,0,0,148000
8,3,1,2794,2,1304,1462,1490,1,146,403000
6,1,1,987,1,504,483,483,1,0,94500
5,1,1,894,1,0,894,894,0,0,128200
6,2,1,1960,2,1100,860,860,2,48,216500
6,1,1,987,1,504,483,483,0,0,89500
7,2,1,1414,2,0,1414,1414,0,105,185500
7,2,1,1744,2,730,996,1014,0,70,194500
8,3,1,1694,2,0,1694,1694,0,228,318000
6,1,1,1487,1,689,735,798,1,140,113000
8,2,1,1566,2,0,1566,1566,0,168,262500
5,0,1,866,1,0,686,866,0,42,110500
5,1,1,1440,1,551,540,889,0,0,79000
6,1,1,1217,1,591,626,626,1,28,120000
7,2,1,2110,2,888,948,1222,2,130,205000
7,2,1,1872,2,0,1845,1872,1,39,241500
6,1,2,1928,2,1020,1020,908,0,60,137000
6,2,1,1375,1,0,1367,1375,1,30,140000
7,2,1,1668,2,828,840,840,0,68,180000
6,2,1,2144,2,700,1444,1444,2,98,277000
3,0,1,1306,1,0,728,1306,0,0,76500
8,2,1,1625,2,0,1573,1625,1,0,235000
6,2,1,1640,2,842,798,798,0,45,173000
6,1,1,1302,2,0,1302,1302,0,0,158000
5,1,1,1314,1,0,1314,1314,0,0,145000
7,2,1,2291,2,1286,975,1005,1,0,230000
6,2,1,1728,2,864,864,864,0,56,207500
7,2,1,1604,2,0,1604,1604,1,110,220000
7,2,1,1792,2,829,963,963,1,96,231500
5,1,1,882,1,0,0,882,0,45,97000
6,2,1,1382,1,0,1362,1382,1,0,176000
8,3,1,2574,2,1092,1482,1482,1,148,276000
6,2,1,1212,1,0,506,1212,1,12,151000
5,2,1,1316,1,0,926,926,0,0,130000
5,2,1,764,1,0,680,764,0,0,73000
6,2,1,1422,2,0,1422,1422,1,0,175500
6,2,1,1511,2,709,802,802,1,75,185000
5,1,1,2192,2,720,720,1052,1,24,179500
5,1,1,778,1,0,740,778,1,25,120500
6,1,1,1113,1,0,1143,1113,1,30,148000
8,3,1,1939,2,844,1095,1095,1,51,266000
7,2,1,1363,1,0,1385,1363,2,0,241500
8,3,1,2270,2,1106,1152,1164,1,57,290000
6,1,1,1632,2,0,1240,1632,1,0,139000
5,1,1,816,1,0,816,816,0,0,124500
7,2,1,1548,2,596,952,952,0,0,205000
7,2,1,1560,2,0,1560,1560,0,150,201000
4,2,1,864,1,0,864,864,0,0,141000
9,3,1,2121,2,0,2121,2121,1,98,415298
7,2,1,2022,2,866,1160,1156,1,117,192000
7,2,1,1982,2,807,807,1175,1,84,228500
6,2,1,1262,2,0,1262,1262,0,120,185000
7,2,1,1314,2,0,1314,1314,1,62,207500
8,3,1,1468,2,0,1468,1468,1,150,244600
6,2,1,1575,2,0,1575,1575,0,0,179200
7,2,1,1250,2,625,625,625,0,54,164700
6,2,1,1734,1,649,912,1085,1,0,159000
4,0,1,858,1,0,858,858,0,0,88000
5,1,1,900,1,0,882,900,0,0,122000
6,1,1,1396,1,698,698,698,0,0,153575
8,2,1,1919,2,840,1079,1079,1,51,233230
5,0,1,1716,2,780,780,936,0,184,135900
5,1,1,1716,1,568,768,1148,1,0,131000
7,2,1,2263,2,795,795,1468,1,250,235000
6,2,1,1644,1,0,1416,1644,2,0,167000
6,2,1,1003,1,0,1003,1003,0,0,142500
5,1,1,1558,1,648,910,910,0,0,152000
7,2,1,1950,2,975,975,975,1,10,239000
6,2,1,1743,1,702,702,1041,1,0,175000
6,1,1,1152,1,0,1092,1152,1,36,158500
5,1,1,1336,1,0,1165,1336,2,0,157000
8,2,1,2452,2,1242,1028,1210,1,50,267000
7,3,1,1541,2,0,1541,1541,1,81,205000
5,2,1,894,1,0,894,894,0,0,149900
7,3,1,3493,3,1818,1470,1675,1,0,295000
8,3,1,2000,2,0,2000,2000,0,0,305900
7,3,1,2243,2,1121,700,1122,1,44,225000
6,0,1,1406,1,371,319,1035,0,144,89500
4,2,1,861,1,0,861,861,0,0,82500
9,3,1,1944,2,0,1896,1944,3,175,360000
6,2,1,1501,2,804,697,697,1,63,165600
6,1,1,972,1,0,972,972,1,0,132000
5,2,1,1118,1,325,793,793,1,0,119900
7,2,1,2036,2,0,2136,2036,2,0,375000
7,2,1,1641,1,809,728,832,1,0,178000
7,2,1,1432,2,716,716,716,1,51,188500
7,2,1,2353,2,1200,845,1153,1,195,260000
8,3,1,1959,2,871,1088,1088,1,46,270000
7,3,1,2646,2,1274,1347,1372,1,60,260000
7,2,1,1472,2,0,1372,1472,2,48,187500
9,3,1,2596,3,1347,1249,1249,0,154,342643
8,3,1,2468,2,1332,1136,1136,1,154,354000
7,2,1,2730,2,1177,1502,1553,1,96,301000
3,1,1,1163,1,0,1162,1163,0,98,126175
7,2,1,2978,2,1080,710,1898,1,0,242000
5,2,1,803,1,0,720,803,0,0,87000
8,2,1,1719,1,0,1719,1719,2,30,324000
6,1,1,1383,1,0,1383,1383,0,45,145250
6,2,1,2134,2,689,844,1445,0,60,214500
5,1,1,1192,1,596,596,596,0,0,78000
5,1,2,1728,2,0,1728,1728,0,0,119000
5,1,1,1056,1,0,1056,1056,0,0,139000
8,3,1,1629,2,0,3206,1629,1,0,284000
7,2,1,1358,2,0,1358,1358,1,30,207000
6,2,1,1638,2,695,943,943,2,38,192000
5,2,1,1786,2,167,1499,1619,2,0,228950
9,3,1,1922,2,0,1922,1922,1,51,377426
7,2,1,1536,2,0,1536,1536,0,74,214000
7,2,1,1621,2,0,1208,1621,0,45,202500
6,1,1,1215,1,0,1215,1215,0,0,155000
8,2,1,1908,2,915,967,993,0,0,202900
4,1,1,841,1,0,721,841,0,0,82000
3,2,2,1040,2,0,0,1040,0,0,87500
9,2,1,1684,2,0,1684,1684,1,72,266000
5,1,1,1112,1,576,536,536,0,0,85000
6,1,1,1577,1,605,972,972,1,0,140200
6,1,1,958,1,0,958,958,0,0,151500
6,2,1,1478,2,0,1478,1478,2,40,157500
7,2,1,1626,2,862,764,764,0,27,154000
9,3,1,2728,2,880,1848,1848,2,0,437154
9,2,1,1869,2,0,1869,1869,1,54,318061
7,2,1,1453,1,0,1453,1453,1,80,190000
5,1,1,1111,1,495,616,616,0,0,95000
6,2,1,720,1,0,624,720,0,0,105900
6,1,1,1595,1,403,940,1192,2,0,140000
6,2,1,1200,2,0,1200,1200,0,26,177500
6,2,1,1167,2,0,1158,1167,0,26,173000
5,2,1,1142,1,0,1142,1142,1,90,134000
5,1,1,1352,1,0,1062,1352,0,0,130000
8,2,1,1924,2,838,1086,1086,1,75,280000
6,2,1,912,1,0,888,912,1,0,156000
5,1,1,1505,1,517,883,988,0,0,145000
7,2,1,1922,3,1427,0,495,1,0,198500
6,1,1,987,1,504,483,483,0,0,118000
6,2,1,1574,2,784,796,790,1,111,190000
5,1,1,1344,1,672,672,672,0,128,147000
6,2,1,1394,1,0,1394,1394,2,76,159000
6,1,1,1431,1,0,1099,1431,1,110,165000
5,1,1,1268,1,0,1268,1268,1,98,132000
5,2,1,1287,1,0,1063,1287,1,17,162000
6,2,1,1664,2,711,953,953,1,40,172400
4,2,1,1588,2,468,0,1120,1,59,134432
6,1,1,752,1,0,744,752,0,0,125000
5,1,1,1319,1,0,608,1319,0,0,123000
7,2,1,1928,2,1081,847,847,1,48,219500
1,0,1,904,0,0,683,904,0,0,61000
5,2,1,914,1,0,870,914,0,0,148000
8,2,1,2466,3,886,1580,1580,1,214,340000
9,3,1,1856,1,0,1856,1856,1,0,394432
6,2,1,1800,2,793,982,1007,1,63,179000
5,1,1,1691,2,665,1026,1026,1,0,127000
7,2,1,1301,2,0,1293,1301,1,121,187750
7,2,1,1797,2,858,939,939,0,53,213500
6,2,1,784,1,0,784,784,0,0,76000
6,2,1,1953,2,874,1580,1079,2,231,240000
8,2,1,1269,2,0,1256,1269,1,20,192000
5,0,1,1184,1,526,658,658,0,151,81000
6,1,1,1125,1,0,1041,1125,1,0,125000
7,2,1,1479,2,0,1468,1479,0,25,191000
10,3,1,2332,2,590,1682,1742,1,134,426000
5,1,1,1367,1,406,861,961,0,130,119000
6,2,1,1961,2,1157,804,804,1,192,215000
5,1,1,882,1,0,0,882,0,0,106500
4,0,1,788,1,0,788,788,2,0,100000
5,1,1,1034,1,299,735,735,0,39,109000
5,1,1,1144,1,0,1144,1144,0,0,129000
5,2,1,894,1,0,894,894,0,0,123000
5,1,1,1812,2,936,864,876,1,168,169500
5,1,1,1077,1,0,961,1077,0,0,67000
7,2,1,1550,2,438,1092,1112,0,168,241000
8,2,1,1288,1,0,1260,1288,2,30,245500
7,2,1,1310,2,0,1310,1310,1,0,164990
5,1,1,672,1,0,672,672,0,0,108000
8,2,1,2263,2,1098,1141,1165,1,123,258000
6,2,1,1572,2,766,806,806,1,40,168000
4,2,1,1620,2,0,1281,1620,1,78,150000
6,1,1,1639,1,0,1064,1166,0,0,115000
6,1,1,1680,2,840,840,840,0,0,177000
7,3,1,2172,2,1101,1063,1071,1,62,280000
8,3,1,2078,2,1028,1034,1050,1,102,339750
5,1,1,1276,1,0,1276,1276,0,0,60000
5,2,1,1056,1,0,1056,1056,0,0,145000
7,2,1,1478,2,0,1470,1478,1,144,222000
5,2,1,1028,1,0,1008,1028,1,0,115000
7,3,1,2097,2,1017,1080,1080,1,187,228000
7,2,1,1340,2,0,1340,1340,0,30,181134
6,2,1,1400,1,728,672,672,1,0,149500
6,3,1,2624,2,1254,1370,1370,1,0,239000
5,1,1,1134,1,378,756,756,0,0,126000
5,1,1,1056,1,0,1056,1056,1,85,142000
7,4,2,1344,2,0,1344,1344,0,0,206300
6,2,1,1602,2,0,1602,1602,1,0,215000
5,2,1,988,1,0,988,988,0,0,113000
8,3,1,2630,2,1160,1470,1470,1,66,315000
6,1,1,1196,1,0,1196,1196,1,44,139000
7,1,1,1389,1,682,651,707,2,0,135000
7,2,1,1644,2,0,1518,1644,1,0,275000
4,1,1,907,1,0,907,907,0,0,109008
7,2,1,1208,2,0,1208,1208,0,54,195400
6,2,1,1412,2,0,1392,1412,1,0,175000
6,1,1,987,1,504,483,483,0,0,85400
6,0,1,1198,1,110,901,1088,0,98,79900
5,2,1,1365,1,600,765,765,0,36,122500
6,2,1,1604,2,678,926,926,1,36,181000
4,0,1,630,1,0,630,630,0,0,81000
7,2,1,1661,2,834,799,827,1,61,212000
6,2,1,1118,1,384,648,734,0,0,116000
6,1,1,904,1,0,884,904,0,0,119000
5,1,1,694,1,0,440,694,1,0,90350
6,2,1,1196,1,512,684,684,0,46,110000
10,3,1,2402,2,0,3094,2402,2,72,555000
4,0,2,1440,2,0,1440,1440,0,0,118000
5,2,1,1573,2,445,1078,1128,1,0,162900
7,3,1,1258,2,0,1258,1258,1,16,172500
7,2,1,1908,2,975,915,933,1,133,210000
6,2,1,1689,1,0,1436,1689,1,0,127500
6,2,1,1888,2,0,1517,1888,1,0,190000
7,2,1,1886,2,930,930,956,1,0,199900
6,1,1,1376,2,596,780,780,1,0,119500
3,1,1,1183,1,504,649,679,0,176,120000
6,1,1,813,1,0,813,813,0,113,110000
7,2,1,1533,2,0,1533,1533,2,54,280000
6,2,1,1756,2,868,872,888,0,122,204000
8,2,1,1590,2,804,768,786,0,30,210000
5,2,2,1728,2,0,1728,1728,0,0,188000
7,2,1,1242,1,0,1242,1242,1,0,175500
5,3,1,1344,1,720,624,624,0,0,98000
4,2,1,1663,1,0,1364,1663,2,137,256000
8,1,1,1666,1,833,588,833,1,63,161000
5,1,1,1203,1,224,709,979,1,0,110000
8,2,1,1935,2,1103,832,832,0,150,263435
7,2,1,1135,1,560,560,575,0,0,155000
5,1,1,864,1,0,864,864,1,0,62383
6,1,1,1660,1,811,715,849,1,0,188700
5,0,1,1040,2,0,1040,1040,0,0,124000
7,2,1,1414,2,0,1375,1414,1,20,178740
7,2,1,1277,1,0,1277,1277,1,0,167000
5,1,1,1644,1,756,728,888,2,0,146500
8,3,1,1634,2,0,1626,1634,1,44,250000
6,2,1,1710,2,878,832,832,0,70,187000
8,2,1,1502,1,0,1488,1502,0,54,212000
7,2,1,1969,2,808,808,1161,1,0,190000
6,2,1,1072,1,0,547,1072,0,28,148000
8,3,1,1976,2,0,1976,1976,1,63,440000
8,2,1,1652,2,0,1494,1652,0,48,251000
5,2,1,970,1,0,970,970,0,24,132500
6,2,1,1493,2,0,1478,1493,1,39,208900
9,3,1,2643,2,574,2153,2069,1,84,380000
8,3,1,1718,2,0,1705,1718,1,44,297000
4,2,1,1131,1,0,907,1131,0,72,89471
9,3,1,1850,2,0,1833,1850,1,112,326000
9,3,1,1792,2,0,1792,1792,1,49,374000
7,1,1,1826,1,910,910,916,1,0,155000
